K00301  3642289 K00301.02 Kepler-135 c  1.1190 1.470  34.055 0.2881   11.448594600  1.293577429010|0.2154978024290 1000.838241800  1.694695483730  1.90729297023 21.97395644010
K00301  3642289 K00301.01 Kepler-135 b  1.1190 1.470  34.055 0.1062    6.002535939  2.095813538440|0.3380919813940 1241.842468070  0.000000000000  0.00000000000  0.00000000000
K00312  7050989 K00312.01 Kepler-136 b  1.2080 1.330  28.113 0.6874   11.578911400  2.199906772140|0.2837884119200  973.059634538  0.000000000000  0.00000000000  0.00000000000
K00312  7050989 K00312.02 Kepler-136 c  1.2080 1.330  28.113 0.1578   16.399256100  2.016334699210|0.2563639284740  865.441188171  2.108120735680  1.41630379001 11.13155489140
K00313  7419318 K00313.01 Kepler-137 c  0.8550 0.852  41.479 0.7575   18.735755790  2.263261510390|0.2155811848210  588.726355414  2.005244592110  2.22082522337 22.68620341620
K00313  7419318 K00313.02 Kepler-137 b  0.8550 0.852  41.479 0.7484    8.436393640  1.747227673830|0.1655463330070  768.088798553  0.000000000000  0.00000000000  0.00000000000
K00316  8008067 K00316.03               1.0580 1.230  43.484 0.0958    7.305699922  1.991596449380|0.2444913093930 1004.544531510  0.000000000000  0.00000000000  0.00000000000
K00316  8008067 K00316.02 Kepler-139 c  1.0580 1.230  43.484 0.1055  157.065480200  2.879891551490|0.3540093133610  361.081552369  2.836484753030  9.95905945356 54.24868578940
K00316  8008067 K00316.01 Kepler-139 b  1.0580 1.230  43.484 0.0127   15.771115830  2.793077954560|0.3361720184710  777.158228050  2.392337201970  2.15874125661 22.26834955640
K00321  8753657 K00321.01 Kepler-406 b  1.0360 1.180  28.228 0.1807    2.426300839  1.607863603400|0.1849350484730 1432.179147790  0.000000000000  0.00000000000  0.00000000000
K00321  8753657 K00321.02 Kepler-406 c  1.0360 1.180  28.228 0.2033    4.623335570  0.921666911205|0.1078293576280 1155.218578680  1.264765257300  1.90550796327 25.08013516280
K00327  9881662 K00327.02 Kepler-140 c  1.0800 1.180  40.541 0.0501   91.351586700  1.711174952520|0.1822193775470  452.605094173  1.602465029310 28.07126418490 79.44758100910
K00327  9881662 K00327.01 Kepler-140 b  1.0800 1.180  40.541 0.0892    3.254274054  1.493755106100|0.1587585048590 1374.641803580  0.000000000000  0.00000000000  0.00000000000
K00330 11361646 K00330.02 Kepler-524 c  1.0720 1.520  64.760 0.4556    1.888979060  1.249046238750|0.1934485071790 1812.146569410  0.000000000000  0.00000000000  0.00000000000
K00330 11361646 K00330.01 Kepler-524 b  1.0720 1.520  64.760 0.0369    7.974198070  2.608314256690|0.3976332928840 1119.751161680  1.928680247720  4.22143275109 44.03146773520
K00332 10290666 K00332.01 Kepler-526 b  1.2140 1.500  38.034 0.7022    5.458498316  2.586900111290|0.4495887059240 1230.938968440  0.000000000000  0.00000000000  0.00000000000
K00332 10290666 K00332.02               1.2140 1.500  38.034 0.2836    6.866785100  0.963038821767|0.1695230191660 1142.486947130  1.774969466530  1.25799894082  8.34029902011
K00337 10545066 K00337.02               0.9990 1.220  70.176 0.0898  154.607419000  2.044608947480|0.2666436594770  371.605827361  2.215017621260  7.81517570754 53.04189847860
K00337 10545066 K00337.01 Kepler-528 b  0.9990 1.220  70.176 0.0176   19.782974150  2.385426295050|0.2889880799590  737.048264726  0.000000000000  0.00000000000  0.00000000000
